ContigName	GO
c_sym_2	No_GOcodes
c_sym_3	No_GO
c_sym_5	No_GO
c_sym_6	No_GO
c_sym_8	No_GO
c_sym_13	GO:0009535;GO:0016021;GO:0045263;GO:0005524;GO:0015078;GO:0015986
c_sym_16	GO:0000166;GO:0003723;GO:0007126;GO:0045927;GO:0045836
c_sym_17	GO:0016021
c_sym_21	GO:0008287;GO:0046872;GO:0004722;GO:0006470
c_sym_28	GO:0016021;GO:0005739;GO:0005886;GO:0001950;GO:0005524;GO:0008553;GO:0046872;GO:0006754;GO:0006885
c_sym_30	No_GO
c_sym_33	GO:0009279;GO:0005886;GO:0003755;GO:0009405;GO:0006457
c_sym_34	GO:0005739;GO:0051539;GO:0009055;GO:0010181;GO:0005506;GO:0050243;GO:0030976;GO:0045333;GO:0022900;GO:0006090;GO:0006810
c_sym_36	No_GO
c_sym_40	No_GO
c_sym_45	GO:0005634;GO:0004842;GO:0051028;GO:0042787
c_sym_46	No_GO
c_sym_48	GO:0005737;GO:0005524;GO:0046872;GO:0004637;GO:0004641;GO:0006189;GO:0009113
c_sym_52	GO:0003824
c_sym_54	No_GOcodes
c_sym_55	No_GO
c_sym_60_27436	GO:0005886;GO:0004177;GO:0008237;GO:0008270;GO:0006508
c_sym_61	GO:0005886;GO:0005524;GO:0005509;GO:0004674
c_sym_63	GO:0016021;GO:0008643
c_sym_64	No_GO
c_sym_67	No_GO
c_sym_72	No_GO
c_sym_74	GO:0016757
c_sym_77	No_GO
c_sym_83	No_GO
c_sym_85	GO:0031225;GO:0005886;GO:0043169;GO:0016740;GO:0005975
c_sym_87	No_GO
c_sym_89	GO:0005788;GO:0005506;GO:0031418;GO:0016702;GO:0004656
c_sym_90	No_GO
c_sym_91	No_GO
c_sym_97	GO:0005634;GO:0005506;GO:0030145;GO:0004721
c_sym_99	No_GO
c_sym_101	No_GO
c_sym_109	No_GO
c_sym_112	No_GO
c_sym_113	GO:0005737;GO:0003677;GO:0006355;GO:0006351
c_sym_117	No_GO
c_sym_118	GO:0016021
c_sym_121	GO:0005737;GO:0005871;GO:0005874;GO:0005488;GO:0003777
c_sym_123	GO:0009881;GO:0000155;GO:0018298;GO:0006355;GO:0006351
c_sym_126	GO:0031225;GO:0005886;GO:0004222;GO:0008270;GO:0007155;GO:0006508
c_sym_127	GO:0009316;GO:0003861;GO:0051539;GO:0046872;GO:0009098
c_sym_129_6134	GO:0005737;GO:0008119
c_sym_131	No_GO
c_sym_133	No_GOcodes
c_sym_134	GO:0005576;GO:0009277;GO:0005622;GO:0070006;GO:0008236;GO:0008270;GO:0006508
c_sym_137	No_GO
c_sym_139	No_GO
c_sym_145	No_GO
c_sym_148	No_GO
c_sym_153	GO:0005488
c_sym_157	GO:0005681;GO:0005525;GO:0003924;GO:0006397;GO:0008380
c_sym_159	GO:0005737;GO:0005634;GO:0019773;GO:0004298;GO:0006511
c_sym_160	GO:0043197;GO:0016021;GO:0005874;GO:0005739;GO:0043025;GO:0042383;GO:0005432;GO:0005516;GO:0060402;GO:0007154;GO:0071320;GO:0021537
c_sym_161	No_GO
c_sym_162	No_GO
c_sym_168	No_GO
c_sym_169	GO:0003677;GO:0003913;GO:0006281;GO:0018298;GO:0006355;GO:0006351
c_sym_171	No_GO
c_sym_175	No_GO
c_sym_176	No_GO
c_sym_180	No_GO
c_sym_181	No_GO
c_sym_182	GO:0005929;GO:0005932;GO:0005488;GO:0030030;GO:0007275
c_sym_187	No_GO
c_sym_188	No_GO
c_sym_189	No_GO
c_sym_191	No_GO
c_sym_193	No_GO
c_sym_197	No_GO
